Tidpunkt (UTC),Datum,Tid,Antal omnämnanden,Rubrik,Sektion,Länk,Screenshot
2026-01-20T18:25:44.129192+00:00,2026-01-20,18:25,5,"{""@context"":""https://schema.org"",""@type"":""WebSite"",""image"":[{""@context"":""https://schema.org"",""@type""",unknown,,nyt_20260120_182544.png
2026-01-20T18:25:44.129192+00:00,2026-01-20,18:25,5,Mamdani Administration,programming-node,,nyt_20260120_182544.png
2026-01-20T18:25:44.129192+00:00,2026-01-20,18:25,5,"As Mamdani Focuses on Child Care, Plan to Tax the Rich Is Put Aside",programming-node,https://www.nytimes.com/2026/01/20/nyregion/mamdani-hochul-taxes-child-care.html,nyt_20260120_182544.png
2026-01-20T18:25:44.129192+00:00,2026-01-20,18:25,5,Mayor Zohran Mamdani of New York campaigned on a proposal to increase taxes on those earning more th,programming-node,,nyt_20260120_182544.png
2026-01-20T18:25:44.129192+00:00,2026-01-20,18:25,5,"window.__preloadedData = {""initialData"":{""data"":{""fdrPackage"":{""__typename"":""ProgrammingNode"",""asset",unknown,,nyt_20260120_182544.png
2026-01-20T18:55:26.024792+00:00,2026-01-20,18:55,5,"{""@context"":""https://schema.org"",""@type"":""WebSite"",""image"":[{""@context"":""https://schema.org"",""@type""",unknown,,nyt_20260120_185526.png
2026-01-20T18:55:26.024792+00:00,2026-01-20,18:55,5,Mamdani Administration,programming-node,,nyt_20260120_185526.png
2026-01-20T18:55:26.024792+00:00,2026-01-20,18:55,5,"As Mamdani Focuses on Child Care, Plan to Tax the Rich Is Put Aside",programming-node,https://www.nytimes.com/2026/01/20/nyregion/mamdani-hochul-taxes-child-care.html,nyt_20260120_185526.png
2026-01-20T18:55:26.024792+00:00,2026-01-20,18:55,5,Mayor Zohran Mamdani of New York campaigned on a proposal to increase taxes on those earning more th,programming-node,,nyt_20260120_185526.png
2026-01-20T18:55:26.024792+00:00,2026-01-20,18:55,5,"window.__preloadedData = {""initialData"":{""data"":{""fdrPackage"":{""__typename"":""ProgrammingNode"",""asset",unknown,,nyt_20260120_185526.png
2026-01-20T20:38:03.086946+00:00,2026-01-20,20:38,5,"{""@context"":""https://schema.org"",""@type"":""WebSite"",""image"":[{""@context"":""https://schema.org"",""@type""",unknown,,nyt_20260120_203803.png
2026-01-20T20:38:03.086946+00:00,2026-01-20,20:38,5,Mamdani Administration,programming-node,,nyt_20260120_203803.png
2026-01-20T20:38:03.086946+00:00,2026-01-20,20:38,5,"As Mamdani Focuses on Child Care, Plan to Tax the Rich Is Put Aside",programming-node,https://www.nytimes.com/2026/01/20/nyregion/mamdani-hochul-taxes-child-care.html,nyt_20260120_203803.png
2026-01-20T20:38:03.086946+00:00,2026-01-20,20:38,5,Mayor Zohran Mamdani of New York campaigned on a proposal to increase taxes on those earning more th,programming-node,,nyt_20260120_203803.png
2026-01-20T20:38:03.086946+00:00,2026-01-20,20:38,5,"window.__preloadedData = {""initialData"":{""data"":{""fdrPackage"":{""__typename"":""ProgrammingNode"",""asset",unknown,,nyt_20260120_203803.png
2026-01-21T00:47:51.175011+00:00,2026-01-21,00:47,0,,,,
2026-01-21T04:35:51.913015+00:00,2026-01-21,04:35,0,,,,
2026-01-21T08:16:33.375227+00:00,2026-01-21,08:16,0,,,,
2026-01-21T12:21:04.542343+00:00,2026-01-21,12:21,0,,,,
2026-01-21T16:21:40.945513+00:00,2026-01-21,16:21,1,Zohran Mamdani’s Aspiration for Gracie Mansion: Bidets,programming-node,https://www.nytimes.com/2026/01/21/style/gracie-mansion-mamdani-bidet.html,nyt_20260121_162140.png
2026-01-21T20:18:37.493103+00:00,2026-01-21,20:18,4,"{""@context"":""https://schema.org"",""@type"":""WebSite"",""image"":[{""@context"":""https://schema.org"",""@type""",unknown,,nyt_20260121_201837.png
2026-01-21T20:18:37.493103+00:00,2026-01-21,20:18,4,Mayor Zohran Mamdani and Police Commissioner Jessica Tisch have little in common. But both of their ,programming-node,https://www.nytimes.com/2026/01/21/nyregion/zohran-mamdani-jessica-tisch-nypd.html,nyt_20260121_201837.png
2026-01-21T20:18:37.493103+00:00,2026-01-21,20:18,4,Zohran Mamdani’s Aspiration for Gracie Mansion: Bidets4 min read,carouselOuterClass,https://www.nytimes.com/2026/01/21/style/gracie-mansion-mamdani-bidet.html,nyt_20260121_201837.png
2026-01-21T20:18:37.493103+00:00,2026-01-21,20:18,4,"window.__preloadedData = {""initialData"":{""data"":{""fdrPackage"":{""__typename"":""ProgrammingNode"",""asset",unknown,,nyt_20260121_201837.png
2026-01-22T00:47:37.491468+00:00,2026-01-22,00:47,3,"{""@context"":""https://schema.org"",""@type"":""WebSite"",""image"":[{""@context"":""https://schema.org"",""@type""",unknown,,nyt_20260122_004737.png
2026-01-22T00:47:37.491468+00:00,2026-01-22,00:47,3,Mayor Zohran Mamdani and Police Commissioner Jessica Tisch have little in common. But both of their ,programming-node,https://www.nytimes.com/2026/01/21/nyregion/zohran-mamdani-jessica-tisch-nypd.html,nyt_20260122_004737.png
2026-01-22T00:47:37.491468+00:00,2026-01-22,00:47,3,"window.__preloadedData = {""initialData"":{""data"":{""fdrPackage"":{""__typename"":""ProgrammingNode"",""asset",unknown,,nyt_20260122_004737.png
2026-01-22T04:39:20.686703+00:00,2026-01-22,04:39,4,"{""@context"":""https://schema.org"",""@type"":""WebSite"",""image"":[{""@context"":""https://schema.org"",""@type""",unknown,,nyt_20260122_043920.png
2026-01-22T04:39:20.686703+00:00,2026-01-22,04:39,4,Mayor Zohran Mamdani and Police Commissioner Jessica Tisch have little in common. But both of their ,programming-node,https://www.nytimes.com/2026/01/21/nyregion/zohran-mamdani-jessica-tisch-nypd.html,nyt_20260122_043920.png
2026-01-22T04:39:20.686703+00:00,2026-01-22,04:39,4,Zohran Mamdani’s Aspiration for Gracie Mansion: Bidets4 min read,carouselOuterClass,https://www.nytimes.com/2026/01/21/style/gracie-mansion-mamdani-bidet.html,nyt_20260122_043920.png
2026-01-22T04:39:20.686703+00:00,2026-01-22,04:39,4,"window.__preloadedData = {""initialData"":{""data"":{""fdrPackage"":{""__typename"":""ProgrammingNode"",""asset",unknown,,nyt_20260122_043920.png
